"PlotID","Lon","Lat","Altitude","Temperature","Precipitation","PPET"
"Supra.14",-2.32113945,38.03197711,1371,12.5,577.94,-627.84
"Supra.15",-2.28652506,38.08039906,1566,11.42,640.54,-530.62
"Supra.13",-2.27484068,38.04033272,1414,12.2,589.14,-606.46
"Supra.12",-2.27213146,38.03825136,1396,12.2,589.14,-606.46
"Supra.16",-2.26015935,38.10252062,1353,12.02,605.54,-583.88
"Supra.17",-2.25612165,38.1043884,1371,12.62,568.74,-640.92
"Supra.18",-2.24356054,38.10901167,1308,12.72,560.44,-651.18
"Supra.19",-2.23537431,38.10289558,1218,12.82,557.64,-656.3
"Supra.11",-2.22519019,38.02763665,1243,12.7,557.08,-646.68
"Supra.25",-2.20099427,38.16121851,1133,13.82,503.84,-740.4
"Supra.24",-2.18272262,38.1621165,1185,13.22,527.74,-698.98
"Supra.23",-2.17795702,38.16416493,1164,13.22,527.74,-698.98
"Supra.10",-2.12562498,38.17713682,1272,12.52,566.88,-632.72
"Supra.30",-2.07615278,38.25002642,1313,12.72,547.9,-662.22
"Supra.31",-2.07276996,38.25335914,1244,13.02,533.9,-681.38
"Supra.27",-2.06931141,38.24914891,1243,12.82,546.08,-662.98
"Supra.29",-2.0681347,38.25257315,1210,13.02,533.9,-681.38
"Supra.28",-2.06696878,38.25166392,1220,13.02,533.9,-681.38
"Supra.22",-2.06466458,38.23115894,1295,12.62,559.46,-640.82
"Supra.26",-2.06095488,38.24976889,1258,12.52,562.34,-635.02
"Supra.9",-2.05484993,38.18917787,1124,13.12,523.64,-691.22
"Supra.20",-2.03630502,38.25244314,1347,12.32,571.92,-619.86
"Supra.21",-2.02757426,38.23546924,1233,12.92,536.24,-673.72
"Meso.62",-2.00498204,37.67391292,712,15.98,366.76,-862.54
"Meso.26",-1.97792777,38.21582495,771,15.24,416.76,-860.14
"Supra.4",-1.96049391,37.60482865,840,15.06,401.86,-799.6
"Supra.3",-1.94532543,37.59547084,808,15.16,394.88,-805.22
"Meso.45",-1.93875325,38.01827682,846,15.02,417.82,-834.14
"Supra.5",-1.93152542,37.62829767,846,15.18,396.74,-809.72
"Supra.6",-1.92771194,37.64693865,888,14.88,412.62,-789.72
"Meso.68",-1.92609396,37.58173652,742,15.66,372.32,-835.06
"Supra.8",-1.91801752,37.66431735,825,15.28,393.08,-817.9
"Supra.2",-1.91438013,37.56787127,733,15.76,368.26,-836.78
"Meso.63",-1.90589442,37.61407449,783,15.58,375.56,-834.08
"Supra.7",-1.9054425,37.66209228,857,15.38,386.28,-825.4
"Meso.64",-1.90176259,37.61159815,777,15.58,375.56,-834.08
"Meso.65",-1.87492278,37.60425868,698,15.88,361.98,-849.74
"Meso.67",-1.87152093,37.58828149,653,16.08,350.1,-862.72
"Meso.66",-1.8686428,37.59318206,663,15.98,356.92,-854.68
