"TransectID","PlotID","Type","Age","Bioclimate","Lithology","Ext.SB","Ext.NV","AspAcu","AspAlb","AspHor","BerVul","ChaHum","CraMon","DapGni","EphFra","JunCom","JunOxy","JunPho","LonImp","LycInt","OleEur","OsyAlb","OsyLan","PisLen","PruSpi","RhaAla","RhaLyc","RhaSax","RosSp","RubPer","SorDom","WitFru","ZizLot"
"Meso.1_NV","Meso.1","NV",18,"Meso","Limestone",0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Meso.1_OS","Meso.1","OS",18,"Meso","Limestone",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meso.10_NV","Meso.10","NV",34,"Meso","Marl",1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Meso.10_OS","Meso.10","OS",34,"Meso","Marl",1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meso.10_SB","Meso.10","SB",34,"Meso","Marl",1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Meso.13_NV","Meso.13","NV",18,"Meso","Limestone",1,1,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,28,0,0,25,0,0,4,0,0,0
"Meso.13_OS","Meso.13","OS",18,"Meso","Limestone",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0
"Meso.13_SB","Meso.13","SB",18,"Meso","Limestone",1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,22,0,0,2,0,0,0
"Meso.14_NV","Meso.14","NV",13,"Meso","Limestone",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0
"Meso.14_OS","Meso.14","OS",13,"Meso","Limestone",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Meso.14_SB","Meso.14","SB",13,"Meso","Limestone",1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,2,14,0,0,1,0,0,0
"Meso.14_TL","Meso.14","TL",13,"Meso","Limestone",1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0
"Meso.16_NV","Meso.16","NV",18,"Meso","Marl",1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meso.16_OS","Meso.16","OS",18,"Meso","Marl",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meso.16_SB","Meso.16","SB",18,"Meso","Marl",1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meso.16_TL","Meso.16","TL",18,"Meso","Marl",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meso.17_NV","Meso.17","NV",2,"Meso","Alluvial",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Meso.17_OS","Meso.17","OS",2,"Meso","Alluvial",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0
"Meso.17_SB","Meso.17","SB",2,"Meso","Alluvial",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0
"Meso.17_TL","Meso.17","TL",2,"Meso","Alluvial",1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"Meso.18_NV","Meso.18","NV",18,"Meso","Marl",1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Meso.18_OS","Meso.18","OS",18,"Meso","Marl",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
