"Species","Species_ID","Genus","SubFamily","Family","Order","Class","Division","GrowthForm","LeafPhenology","LeafShape","RootDepth","SLA","Shade","Sexual_System","dispcat","leng","sdm","seeds","kjg","pcw"
"Asparagus acutifolius","AspAcu","Asparagus","Asparagoideae","Liliaceae","Asparagales","Liliopsida","Magnoliophyta ","liana","evergreen","needle-like",0.09,10.523,"SN","dioecious","Birds","6.5",0.04,"2-5",NA,"56.2"
"Asparagus albus","AspAlb","Asparagus","Asparagoideae","Liliaceae","Asparagales","Liliopsida","Magnoliophyta ","shrub","winter deciduous","needle-like",0.31,14.631,"SN","hermaphrodite","Birds","5.8",0.03,"2-5",16.07,"61.3"
"Asparagus horridus","AspHor","Asparagus","Asparagoideae","Liliaceae","Asparagales","Liliopsida","Magnoliophyta ","liana","evergreen","needle-like",0.175,2.269,"N","dioecious","Birds","6",0.0257,"2-5",NA,"60"
"Berberis vulgaris","BerVul","Berberis","Berberidoideae","Berberidaceae ","Ranunculales ","Magnoliopsida","Magnoliophyta","shrub","winter deciduous","broad",1,NA,"SN","hermaphrodite","Birds","10.4",0.02,"2-5",17.75,"69"
"Chamaerops humilis","ChaHum","Chamaerops","Coryphoideae","Arecaceae","Arecales","Liliopsida","Magnoliophyta ","large shrub","evergreen","linear",NA,6.53,"SN","monoecious","Mammals","14.5",0.67,"one-seeded",17.12,"23.9"
"Crataegus monogyna","CraMon","Crataegus","Amygdaloideae","Rosaceae ","Rosales","Magnoliopsida","Magnoliophyta ","large shrub","winter deciduous","broad",0.453,13.53,"SN","hermaphrodite","Mixed","12.1",0.12,"one-seeded",16.91,"56.4"
"Daphne gnidium","DapGni","Daphne",NA,"Thymelaeaceae ","Malvales","Magnoliopsida","Magnoliophyta ","shrub","evergreen","linear",1.2,11.011,"SN","hermaphrodite","Birds","6.2",0.01,"one-seeded",16.91,"81.9"
"Ephedra fragilis","EphFra","Ephedra",NA,"Ephedraceae","Ephedrales","Gnetopsida","Gnetophyta","large shrub","evergreen","scale-like",0.165,2.213,"N","dioecious","Mixed","10",0.0092,"2-5",NA,"15"
"Juniperus communis","JunCom","Juniperus",NA,"Cupressaceae ","Pinales","Pinopsida","Pinophyta","large shrub","evergreen","needle-like",NA,6.66,"SN","dioecious","Mixed","12",NA,"2-5",NA,"29"
"Juniperus oxycedrus","JunOxy","Juniperus",NA,"Cupressaceae ","Pinales","Pinopsida","Pinophyta","large shrub","evergreen","needle-like",1.68,6.5,"N","dioecious","Mixed","12",0.09,"2-5",NA,"21"
