"","Posterior.mean.Species","Posterior.mean..Intercept.","Posterior.mean.Altitude","Posterior.mean.LithologyAlluvial","Posterior.mean.LithologyMarl","Posterior.mean.LithologyMetamorphic","Posterior.mean.TypeTL","Posterior.mean.TypeSB","Posterior.mean.TypeNV","Posterior.mean.Age","Posterior.mean.Ext.SB1","Posterior.mean.Ext.NV1","Posterior.mean.Legacy1","Pr.x.0..Species","Pr.x.0...Intercept.","Pr.x.0..Altitude","Pr.x.0..LithologyAlluvial","Pr.x.0..LithologyMarl","Pr.x.0..LithologyMetamorphic","Pr.x.0..TypeTL","Pr.x.0..TypeSB","Pr.x.0..TypeNV","Pr.x.0..Age","Pr.x.0..Ext.SB1","Pr.x.0..Ext.NV1","Pr.x.0..Legacy1","Pr.x.0..Species.1","Pr.x.0...Intercept..1","Pr.x.0..Altitude.1","Pr.x.0..LithologyAlluvial.1","Pr.x.0..LithologyMarl.1","Pr.x.0..LithologyMetamorphic.1","Pr.x.0..TypeTL.1","Pr.x.0..TypeSB.1","Pr.x.0..TypeNV.1","Pr.x.0..Age.1","Pr.x.0..Ext.SB1.1","Pr.x.0..Ext.NV1.1","Pr.x.0..Legacy1.1"
"AspAcu","AspAcu",0.037706398330179,0.00100866316838527,0.574203180455073,0.100683314662645,0.574871396072241,-0.128453500928406,0.194336672054536,0.512043631841512,0.000415898846579558,-0.462417181696133,0.703391826279394,-0.367611419314831,"AspAcu",0.5285,0.803,0.8345,0.55,0.855,0.4015,0.6455,0.865,0.515,0.175,0.937,0.254,"AspAcu",0.4715,0.197,0.1655,0.45,0.145,0.5985,0.3545,0.135,0.485,0.825,0.063,0.746
"AspAlb","AspAlb",1.10134377829321,0.00062880423291217,0.870821334744399,0.144842942786286,0.0669618396551802,0.162965531818134,0.699067753881115,-0.0293956989759082,0.00378054078883174,-0.682499703410039,0.438991626580565,-0.292705404752381,"AspAlb",0.8385,0.699,0.9135,0.568,0.5695,0.606,0.9525,0.466,0.542,0.105,0.7485,0.27,"AspAlb",0.1615,0.301,0.0865,0.432,0.4305,0.394,0.0475,0.534,0.458,0.895,0.2515,0.73
"AspHor","AspHor",0.546502162341247,-0.00116177168455956,0.181904267558384,-0.0113480471686775,0.242336400582897,0.588383501019914,0.913473512844842,1.11151525881437,0.0190482970702312,0.0571102957693249,-0.0786798482622323,-0.155860962165002,"AspHor",0.8655,0.0315,0.7345,0.4945,0.8295,0.954,0.9995,1,0.9425,0.5885,0.3845,0.237,"AspHor",0.1345,0.9685,0.2655,0.5055,0.1705,0.046,5e-04,0,0.0575,0.4115,0.6155,0.763
"DapGni","DapGni",1.47891755753889,-0.000592978717666652,0.570595200270727,0.54136861657866,0.0849692030650954,-0.279992760641633,-0.0199659035037584,-0.282572018944078,0.0175840580246601,-0.130979616337273,0.168919191513864,-0.834440047779477,"DapGni",0.956,0.1435,0.918,0.936,0.575,0.2105,0.464,0.2005,0.9,0.3415,0.6995,0.019,"DapGni",0.044,0.8565,0.082,0.064,0.425,0.7895,0.536,0.7995,0.1,0.6585,0.3005,0.981
"EphFra","EphFra",-0.83202792152602,0.00200631946905043,-0.344022348110853,-0.137090472315584,-0.847694820518962,1.5446784884621,0.578264727879889,1.13004788442943,-0.0205452860408613,0.564715957541189,-0.0966068762658142,0.441200336451705,"EphFra",0.3125,0.8315,0.294,0.4195,0.1245,0.994,0.821,0.97,0.157,0.7485,0.43,0.7015,"EphFra",0.6875,0.1685,0.706,0.5805,0.8755,0.006,0.179,0.03,0.843,0.2515,0.57,0.2985
"JunOxy","JunOxy",0.42928812542109,0.000301418482904847,0.397381548881485,-0.338688976200024,-0.381752094710324,0.230462258911048,-0.340921369581114,0.873572533748474,-0.00492714166896384,0.637229835356154,-0.0469363715199126,0.539688853965781,"JunOxy",0.69,0.702,0.885,0.1655,0.227,0.7195,0.164,0.994,0.374,0.9795,0.438,0.9375,"JunOxy",0.31,0.298,0.115,0.8345,0.773,0.2805,0.836,0.006,0.626,0.0205,0.562,0.0625
"JunPho","JunPho",-0.594454243817954,0.00127466338273471,-0.455210099370439,-0.906549931436195,-0.578687430214403,0.382833355209951,-0.0143614065580171,1.15207166492976,0.00667956130703779,0.403999239141793,-0.485700631987894,0.748103357014882,"JunPho",0.3755,0.8565,0.1785,0.0145,0.3555,0.708,0.4865,0.9935,0.627,0.7785,0.112,0.8785,"JunPho",0.6245,0.1435,0.8215,0.9855,0.6445,0.292,0.5135,0.0065,0.373,0.2215,0.888,0.1215
"OleEur","OleEur",-0.0853277029567264,0.000522793498866945,-0.577122615656018,-0.10296179761471,-0.154353803823449,-0.243793496821933,0.0303359313611884,0.439725234440317,-0.0115090305852083,0.130300291658798,0.248614968611527,0.458083361544182,"OleEur",0.4595,0.7095,0.1305,0.4315,0.369,0.2525,0.5215,0.8725,0.211,0.64,0.7505,0.86,"OleEur",0.5405,0.2905,0.8695,0.5685,0.631,0.7475,0.4785,0.1275,0.789,0.36,0.2495,0.14
"PisLen","PisLen",-1.55933770439623,0.00148244808832892,0.349947465085627,-0.640429326218796,-0.316661260416833,-0.194681233380264,-0.0359252162405308,0.219242102662705,0.0532388796095241,0.756091481071904,0.416585238280171,-0.302378228673532,"PisLen",0.0915,0.887,0.786,0.1275,0.2835,0.336,0.469,0.7235,0.981,0.9275,0.7775,0.233,"PisLen",0.9085,0.113,0.214,0.8725,0.7165,0.664,0.531,0.2765,0.019,0.0725,0.2225,0.767
"RhaLyc","RhaLyc",0.944011830116562,2.66751039552886e-05,-0.297333156241525,-0.746874253298276,-0.0499218917837291,0.556298854726793,0.439686772937048,0.71718431285678,-0.0134291184606313,0.0403488902977427,0.184642144840699,0.152438120358354,"RhaLyc",0.9395,0.5115,0.1725,0.018,0.4305,0.954,0.9185,0.994,0.0975,0.5615,0.7075,0.733,"RhaLyc",0.0605,0.4885,0.8275,0.982,0.5695,0.046,0.0815,0.006,0.9025,0.4385,0.2925,0.267
