"","Posterior.mean.","Posterior.mean.AspAcu","Posterior.mean.AspAlb","Posterior.mean.AspHor","Posterior.mean.DapGni","Posterior.mean.EphFra","Posterior.mean.JunOxy","Posterior.mean.JunPho","Posterior.mean.OleEur","Posterior.mean.PisLen","Posterior.mean.RhaLyc","Posterior.mean.RosSp","Posterior.mean.RubPer","Pr.x.0..","Pr.x.0..AspAcu","Pr.x.0..AspAlb","Pr.x.0..AspHor","Pr.x.0..DapGni","Pr.x.0..EphFra","Pr.x.0..JunOxy","Pr.x.0..JunPho","Pr.x.0..OleEur","Pr.x.0..PisLen","Pr.x.0..RhaLyc","Pr.x.0..RosSp","Pr.x.0..RubPer","Pr.x.0...1","Pr.x.0..AspAcu.1","Pr.x.0..AspAlb.1","Pr.x.0..AspHor.1","Pr.x.0..DapGni.1","Pr.x.0..EphFra.1","Pr.x.0..JunOxy.1","Pr.x.0..JunPho.1","Pr.x.0..OleEur.1","Pr.x.0..PisLen.1","Pr.x.0..RhaLyc.1","Pr.x.0..RosSp.1","Pr.x.0..RubPer.1"
"AspAcu","AspAcu",1,0.0323270422606813,-0.0185323589965016,0.039474159996866,-0.0279178700315604,-0.0688503107417763,-0.0220384978628395,0.0603092452642487,0.0550225037684117,0.0581103246186249,-0.0147988651591903,0.121247862440956,"AspAcu",1,0.516,0.4865,0.522,0.4865,0.458,0.4825,0.5285,0.521,0.532,0.4945,0.564,"AspAcu",0,0.484,0.5135,0.478,0.5135,0.542,0.5175,0.4715,0.479,0.468,0.5055,0.436
"AspAlb","AspAlb",0.0323270422606813,1,0.066992390158592,-0.0124786228094324,0.0137919090836156,-0.0185893768798008,-0.00186119814167094,0.0115009659079283,-0.0600544281349566,0.0908283552484522,-0.012020904489774,-0.0391860372645285,"AspAlb",0.516,1,0.5355,0.4945,0.51,0.49,0.505,0.5,0.467,0.551,0.4925,0.479,"AspAlb",0.484,0,0.4645,0.5055,0.49,0.51,0.495,0.5,0.533,0.449,0.5075,0.521
"AspHor","AspHor",-0.0185323589965016,0.066992390158592,1,0.0126674875492418,0.0110381029940674,-0.0368569422843814,0.0101202836882587,-0.0241041709322431,0.0118669584869745,0.0357630384235019,-0.0129817049299895,0.0240718657633512,"AspHor",0.4865,0.5355,1,0.504,0.5045,0.4805,0.509,0.4865,0.5095,0.522,0.489,0.516,"AspHor",0.5135,0.4645,0,0.496,0.4955,0.5195,0.491,0.5135,0.4905,0.478,0.511,0.484
"DapGni","DapGni",0.039474159996866,-0.0124786228094324,0.0126674875492418,1,-0.0144587751735788,-0.0812287189496688,0.013514963165241,0.0450209572432444,0.094428426987305,-0.017582613833399,-0.0372947275940295,0.0252085659538672,"DapGni",0.522,0.4945,0.504,1,0.4895,0.4565,0.5025,0.5195,0.5455,0.4895,0.478,0.511,"DapGni",0.478,0.5055,0.496,0,0.5105,0.5435,0.4975,0.4805,0.4545,0.5105,0.522,0.489
"EphFra","EphFra",-0.0279178700315604,0.0137919090836156,0.0110381029940673,-0.0144587751735788,1,0.0119401612007181,-0.0100590609591267,-0.0137425532842139,-0.007152090133711,-0.017299149264906,0.000864841989448765,0.0211879599992704,"EphFra",0.4865,0.51,0.5045,0.4895,1,0.5065,0.4895,0.49,0.495,0.489,0.499,0.516,"EphFra",0.5135,0.49,0.4955,0.5105,0,0.4935,0.5105,0.51,0.505,0.511,0.501,0.484
"JunOxy","JunOxy",-0.0688503107417763,-0.0185893768798008,-0.0368569422843814,-0.0812287189496688,0.0119401612007181,1,0.27983089622358,-0.0635065090821114,-0.0835696402794851,-0.0450572248802944,0.135991185862211,-0.187917461056079,"JunOxy",0.458,0.49,0.4805,0.4565,0.5065,1,0.6445,0.466,0.461,0.474,0.5695,0.402,"JunOxy",0.542,0.51,0.5195,0.5435,0.4935,0,0.3555,0.534,0.539,0.526,0.4305,0.598
"JunPho","JunPho",-0.0220384978628395,-0.00186119814167094,0.0101202836882587,0.013514963165241,-0.0100590609591267,0.27983089622358,1,-0.00404424746152727,-0.0499382120040925,-0.0129843312379586,0.0997793631270694,-0.099062938557264,"JunPho",0.4825,0.505,0.509,0.5025,0.4895,0.6445,1,0.496,0.4745,0.4945,0.5575,0.449,"JunPho",0.5175,0.495,0.491,0.4975,0.5105,0.3555,0,0.504,0.5255,0.5055,0.4425,0.551
"OleEur","OleEur",0.0603092452642487,0.0115009659079283,-0.0241041709322431,0.0450209572432444,-0.0137425532842139,-0.0635065090821114,-0.00404424746152727,1,0.00977348559414245,0.073737578605336,-0.0259132255597163,0.0792415415147536,"OleEur",0.5285,0.5,0.4865,0.5195,0.49,0.466,0.496,1,0.508,0.54,0.487,0.5415,"OleEur",0.4715,0.5,0.5135,0.4805,0.51,0.534,0.504,0,0.492,0.46,0.513,0.4585
"PisLen","PisLen",0.0550225037684117,-0.0600544281349566,0.0118669584869745,0.094428426987305,-0.007152090133711,-0.0835696402794851,-0.0499382120040925,0.00977348559414246,1,-0.0741371803139322,-0.0209226527822952,0.198732494160117,"PisLen",0.521,0.467,0.5095,0.5455,0.495,0.461,0.4745,0.508,1,0.4605,0.4885,0.603,"PisLen",0.479,0.533,0.4905,0.4545,0.505,0.539,0.5255,0.492,0,0.5395,0.5115,0.397
"RhaLyc","RhaLyc",0.0581103246186249,0.0908283552484522,0.0357630384235019,-0.017582613833399,-0.017299149264906,-0.0450572248802944,-0.0129843312379586,0.073737578605336,-0.0741371803139322,1,0.0210332613867691,0.0337000150507491,"RhaLyc",0.532,0.551,0.522,0.4895,0.489,0.474,0.4945,0.54,0.4605,1,0.508,0.5235,"RhaLyc",0.468,0.449,0.478,0.5105,0.511,0.526,0.5055,0.46,0.5395,0,0.492,0.4765
