"","AspAcu","AspAlb","AspHor","DapGni","EphFra","JunOxy","JunPho","OleEur","PisLen","RhaLyc","RosSp","RubPer"
"Intercept",0,0,0,0,0,0,0,0,0,0,0,0
"Altitude",0.230787355933733,0.162751442947971,0.322207847182872,0.132331386010093,0.340655188914949,0.0691631023261236,0.199335877406195,0.223061637869513,0.241255225276241,0.0987424188099407,0.194834536329637,0.262119850891922
"Lithology",0.234205231057096,0.245351711222438,0.0718263091165993,0.218622100940039,0.143510366267483,0.18520624643643,0.314095490638665,0.227230617324172,0.180477289309468,0.309758400289823,0.216741056474876,0.152142802734022
"Type",0.143188208169704,0.163330822038808,0.393086404624026,0.107696035786401,0.224056874355482,0.261551359202713,0.196963736262172,0.16126625129391,0.0699886796224062,0.285792196861677,0.306799450729928,0.0702870452892902
"Age",0.016878729300511,0.112786044130028,0.0725114077097058,0.085513621789339,0.0407292774764047,0.0323009608585054,0.0263647520544226,0.0524958445197371,0.215097222414717,0.0685855976214614,0.0286929128172587,0.113931759310694
"Ext.SB",0.0921779075626346,0.119643754531306,0.029228890997073,0.0454362922836392,0.0900377212925226,0.131297188675646,0.0497057783289151,0.0626341857940846,0.106993653652178,0.0398367385149513,0.0403011195713768,0.102958034983536
"Ext.NV",0.141145048139599,0.0891385310076309,0.030035177783716,0.0508852211389671,0.0396497453009041,0.0340290348505184,0.0557764463880996,0.0853499738429426,0.0622829337714917,0.0893139167003708,0.0211436251080274,0.0693617967193463
"Legacy",0.0864655260590117,0.0587533830582901,0.0304121503653848,0.303781892869361,0.0983804969477006,0.114659498787698,0.121162235366876,0.13165954837597,0.0477284095817016,0.0456066474080208,0.169471939675613,0.192419123853615
"Random: plot",0.0551519937777099,0.048244311063528,0.0506918122206217,0.0557334491821617,0.0229803294445549,0.171792608862366,0.0365956835546547,0.0563019409796702,0.0761765863717969,0.0623640837937553,0.0220153592932832,0.0367795862175747
"R2",0.247603191346248,0.306657165606339,0.336608293590325,0.294964686522691,0.555755332796602,0.366610371749534,0.381088288703423,0.432183570425453,0.561284474049561,0.271289888807498,0.913742359847225,0.662263206945372
