"","AspAcu","AspAlb","AspHor","DapGni","EphFra","JunOxy","JunPho","OleEur","PisLen","RhaLyc","RosSp","RubPer"
"Intercept",0,0,0,0,0,0,0,0,0,0,0,0
"Altitude",0.0288893880228948,0.345789775544613,0.641063773352082,0.316968701771157,0.0601197303963485,0.633050015298709,0.634728405034009,0.163125046523046,0.0521598055667746,0.188888359705923,0.696069156434473,0.0516539702794469
"Lithology",0.410198381528249,0.266697944704048,0.0449245310738779,0.0792646261420219,0.112313057656258,0.0691121856830598,0.204265103279465,0.152438422063911,0.210802676997438,0.0910034865507277,0.0940389373859167,0.112140166930047
"Type",0.111272968101598,0.0420196551333546,0.074962461528973,0.0294464790638636,0.0749579943402045,0.0235442608353447,0.0533045898460747,0.102485572624297,0.0608837128595047,0.0976666476652313,0.0659674139881562,0.0998034921015196
"Age",0.0748089429958959,0.017676399699403,0.00659810947870541,0.0100628749158992,0.0467695787357636,0.0119384924058756,0.0514020923052165,0.0167034575641472,0.0166627831936579,0.0119372582261251,0.0414162236985362,0.0485981533685611
"Ext.SB",0.0169615562375251,0.0950544326116173,0.103528566636106,0.0387372789269414,0.100369582022619,0.0307519682016293,0.0298292208474525,0.0957989799261524,0.0825964299226317,0.0352407821100212,0.0435560466255596,0.121704811563192
"Ext.NV",0.0199347363126731,0.0323141719552363,0.0802430729177153,0.0162116667862996,0.0310312640512319,0.028768635641449,0.00436314315257451,0.0220704324968581,0.0951768809660867,0.0915455402896054,0.0135545719303762,0.116672133802519
"Legacy",0.0303323725921672,0.0126966812378928,0.0161333370233477,0.0765691051991924,0.157870465660937,0.0180497023620904,0.00856167310195865,0.0370862254930393,0.042388062575778,0.0644110670834837,0.030104790578759,0.0241912971726351
"Random: plot",0.307601654208997,0.187750939113836,0.0325461479891927,0.432739267194625,0.416568327136638,0.184784739571842,0.0135457724332488,0.410291863308548,0.439329647918128,0.419306858368882,0.0152928593582232,0.425235974782079
"TjurR2",0.290623179707081,0.538714418581583,0.35896164635143,0.475512211760864,0.292530923433747,0.595593285461686,0.65679166682784,0.235754589816758,0.403689354484079,0.524227761775525,0.315201220942453,0.253639056499775
